frame_index,sample_timestamp,RADAR_FRONT,RADAR_FRONT_LEFT,RADAR_FRONT_RIGHT,RADAR_BACK_LEFT,RADAR_BACK_RIGHT,LIDAR_TOP,CAM_FRONT,CAM_FRONT_RIGHT,CAM_BACK_RIGHT,CAM_BACK,CAM_BACK_LEFT,CAM_FRONT_LEFT
0,1532402927647951,16227,4735,-8134,20405,-12413,0,-35491,-27612,-20058,-10426,-528,-43107
1,1532402928147847,-33191,19421,6514,30577,-1623,0,-35387,-27508,-19954,-10322,-424,-43003
2,1532402928698048,21908,-15664,-33162,-9242,32809,0,-35588,-27709,-20155,-10523,-625,-43204
3,1532402929197353,-22242,-4538,-22698,1547,-26350,0,-34893,-27014,-19460,-9828,70,-42509
4,1532402929697797,1645,542,-7988,16340,-12125,0,-35337,-27458,-19904,-10272,-374,-42953
5,1532402930152601,2869,-24963,-21938,1923,-30858,0,-40141,-32262,-24708,-15076,-5178,-47757
6,1532402930648325,32269,-10190,-12904,16101,-16842,0,-35865,-27986,-20432,-10800,-902,-43481
7,1532402931198511,12283,29926,16907,-23905,18201,0,-36051,-28172,-20618,-10986,-1088,-43667
8,1532402931697833,-36874,-29637,27762,-12983,33770,0,-35373,-27494,-19940,-10308,-410,-42989
9,1532402932197715,-7042,-10652,-31600,1745,-25997,0,-35255,-27376,-19822,-10190,-292,-42871
10,1532402932647284,-5920,-27698,23649,-12812,34288,0,-34824,-26945,-19391,-9759,139,-42440
11,1532402933146604,24838,-17206,34918,-1326,-24245,0,-34144,-26265,-18711,-9079,819,-41760
12,1532402933646462,-19779,-2348,-30217,9249,-14876,0,-34002,-26123,-18569,-8937,969,-41618
13,1532402934146351,4615,3555,-20269,23721,-3676,0,-33891,-26012,-18458,-8826,1072,-41507
14,1532402934696555,-14634,-36820,15261,-15837,31015,0,-34071,-26216,-18662,-9030,868,-41711
15,1532402935197541,14559,-27456,24476,-7351,-30416,0,-35078,-27202,-19648,-10016,-118,-42697
16,1532402935697945,-35694,-17905,33595,2259,-19816,0,-35485,-27606,-20052,-10420,-522,-43101
17,1532402936198962,-11542,-8443,-26436,16802,-5597,0,-36502,-28623,-21069,-11437,-1539,-44118
18,1532402936699359,23199,1077,-10931,31203,9171,0,-36899,-29020,-21466,-11834,-1936,-44515
19,1532402937198682,-25950,11777,-11490,-32166,20274,0,-36222,-28343,-20789,-11157,-1259,-43838
20,1532402937698000,4954,22718,-468,-21307,-34160,0,-35540,-27661,-20107,-10475,-577,-43156
21,1532402938197897,34373,33350,9547,-6038,-23905,0,-35437,-27558,-20004,-10372,-474,-43053
22,1532402938647444,-34195,18996,-4958,-20441,-33327,0,-34984,-27105,-19551,-9893,-21,-42600
23,1532402939147334,-3936,29092,6209,-5185,-18040,0,-34874,-26995,-19441,-9809,89,-42490
24,1532402939697511,-28943,-16507,36188,24871,16440,0,-35051,-27172,-19618,-9986,-88,-42667
25,1532402940197958,210,-6039,-29269,-35474,31690,0,-35498,-27619,-20065,-10430,-535,-43114
26,1532402940797343,6608,-25709,22495,24964,16580,0,-34883,-27004,-19450,-9818,80,-42499
27,1532402941297218,31978,-20455,32170,35263,32445,0,-34758,-26879,-19325,-9693,205,-42374
28,1532402941797653,-13363,-10269,-33250,-24886,-27483,0,-35193,-27314,-19760,-10128,-230,-42809
29,1532402942197463,36946,25143,2115,14671,12839,0,-35003,-27124,-19570,-9938,-40,-42619
30,1532402942697870,-8208,34646,11845,25415,22618,0,-35410,-27531,-19977,-10345,-447,-43026
31,1532402943197769,16976,-30828,16604,35484,-37184,0,-35309,-27430,-19876,-10244,-346,-42925
32,1532402943697655,-27716,-15210,22035,-24130,-22536,0,-35195,-27316,-19762,-10130,-232,-42811
33,1532402944198088,1434,-4819,31382,-15034,-13031,0,-35628,-27749,-20195,-10563,-665,-43244
34,1532402944697931,27334,5907,-27655,-4394,3442,0,-35471,-27592,-20038,-10404,-508,-43087
35,1532402945197276,-16847,15418,-22559,7407,13918,0,-34816,-26937,-19383,-9751,147,-42432
36,1532402945697148,13412,20738,-10905,21739,29295,0,-34688,-26809,-19255,-9623,275,-42304
37,1532402946297085,12844,1933,-24949,6439,19594,0,-34625,-26746,-19192,-9560,338,-42241
38,1532402946797517,-31607,6251,-21555,16269,29279,0,-35057,-27178,-19624,-9992,-94,-42673
